customer_id,ref_date,is_new,days_relationship,score_band,recency_days,freq_90d,monetary_90d,weekend_ratio,spend_std_90d,app_interactions_30d,engagement_rate,multimodal_90d,plan_active,plan_price,reactivations_12m,inadimplencia,churn_90d,convert_30d,ltv_12m
1,2024-07-16,0,969,700-800,166,26,1531.38,0.193,111.74,6,0.186,1,0,0,0,0,0,0,4352.93
2,2024-03-01,1,67,800+,9,5,358.6,0.309,86.92,0,0.0,0,0,0,0,0,1,1,1096.55
3,2025-12-21,1,66,650-700,4,1,119.22,0.524,121.1,0,0.0,0,0,0,0,0,0,1,332.72
4,2025-11-07,0,291,<600,73,31,2000.95,0.427,176.06,3,0.309,3,1,79,0,0,1,0,4866.35
5,2025-03-08,0,1243,800+,7,25,1086.43,0.296,124.26,2,0.048,2,1,49,1,0,0,0,4144.59
6,2024-12-28,1,81,650-700,23,2,236.24,0.293,45.37,1,0.37,0,0,0,0,0,0,0,584.05
7,2025-10-04,0,616,650-700,24,25,1267.11,0.512,102.74,1,0.049,0,0,0,1,0,0,0,3438.66
8,2024-07-04,1,75,700-800,22,4,136.04,0.43,143.71,1,0.4,0,0,0,0,0,0,0,619.6
9,2025-09-18,1,41,700-800,15,1,158.46,0.593,136.03,2,1.463,0,0,0,0,1,1,0,311.06
10,2025-01-18,0,1143,650-700,175,25,833.56,0.346,126.72,1,0.026,4,1,129,0,0,0,0,3364.34
11,2024-03-31,0,442,600-650,199,24,1798.0,0.316,208.46,4,0.271,10,1,79,0,0,0,0,5070.99
12,2024-06-29,0,857,700-800,200,20,1444.46,0.294,0.0,0,0.0,3,1,79,0,0,0,0,5563.74
13,2024-05-20,0,1356,600-650,33,21,1591.29,0.226,106.72,2,0.044,2,0,0,0,0,0,0,3813.86
14,2024-03-06,0,324,700-800,88,30,1603.3,0.177,89.69,2,0.185,2,0,0,1,0,0,1,4604.87
15,2024-08-22,0,762,600-650,168,29,920.66,0.401,194.58,3,0.118,5,1,79,0,0,0,0,3045.27
16,2024-08-29,0,134,600-650,75,30,1122.37,0.38,222.77,6,1.343,3,1,49,2,0,1,0,3027.53
17,2025-09-04,1,1,700-800,15,0,193.92,0.235,31.73,1,1.0,0,0,0,0,0,0,0,605.4
18,2025-03-17,1,30,700-800,19,0,126.93,0.456,0.0,1,1.0,0,0,0,0,0,0,0,407.53
19,2024-06-15,0,1165,800+,196,32,1068.85,0.207,118.34,5,0.129,1,1,79,0,1,0,0,3619.36
20,2024-09-19,1,41,700-800,13,4,155.51,0.278,160.53,1,0.732,0,0,0,0,0,1,0,435.09
21,2025-07-09,0,1239,700-800,175,28,1260.17,0.278,169.66,3,0.073,5,1,79,1,0,0,0,4491.72
22,2025-09-30,0,1336,700-800,150,19,1019.23,0.118,140.37,3,0.067,3,0,0,1,0,0,1,2699.0
23,2025-09-04,0,1457,600-650,182,22,974.73,0.105,105.9,4,0.082,1,0,0,0,0,0,1,2051.64
24,2025-03-08,0,819,800+,121,30,1272.01,0.274,61.4,4,0.147,3,0,0,0,0,0,0,3876.29
25,2024-09-16,0,968,700-800,126,27,942.32,0.323,252.1,3,0.093,3,0,0,0,0,1,0,2613.86
26,2025-11-21,0,802,<600,174,22,1212.86,0.392,61.86,1,0.037,5,0,0,0,0,0,0,2289.38
