customer_id,ref_date,is_new,days_relationship,score_band,recency_days,freq_90d,monetary_90d,weekend_ratio,spend_std_90d,app_interactions_30d,engagement_rate,multimodal_90d,plan_active,plan_price,reactivations_12m,inadimplencia,p_churn_90d,p_convert_30d,ltv_12m_hat,segmento_kmeans,nba_decision,decision_reason
3,2025-12-21,1,66,650-700,4,1,119.22,0.524,121.1,0,0.0,0,0,0,0,0,0.18305889221393995,0.08201875787116304,273.4770383456619,3,NENHUMA,Baixa propensão; evitar contato
4,2025-11-07,0,291,<600,73,31,2000.95,0.427,176.06,3,0.309,3,1,79,0,0,0.3219975851869891,0.21415878225589072,6119.175608214075,4,NENHUMA,Inelegível por risco (inadimplência/score)
7,2025-10-04,0,616,650-700,24,25,1267.11,0.512,102.74,1,0.049,0,0,0,1,0,0.24026711517790478,0.17505088778552919,3497.6389539956976,4,NENHUMA,Baixa propensão; evitar contato
9,2025-09-18,1,41,700-800,15,1,158.46,0.593,136.03,2,1.463,0,0,0,0,1,0.19050612288086521,0.17524791741751602,452.24451258868106,2,NENHUMA,Inelegível por risco (inadimplência/score)
17,2025-09-04,1,1,700-800,15,0,193.92,0.235,31.73,1,1.0,0,0,0,0,0,0.13122018855284864,0.07762468102707072,566.678988597524,3,NENHUMA,Baixa propensão; evitar contato
21,2025-07-09,0,1239,700-800,175,28,1260.17,0.278,169.66,3,0.073,5,1,79,1,0,0.13681959178520506,0.179565573285191,4557.7673133634,4,NENHUMA,Baixa propensão; evitar contato
22,2025-09-30,0,1336,700-800,150,19,1019.23,0.118,140.37,3,0.067,3,0,0,1,0,0.1647949408538951,0.16183895243840846,2785.8627215756283,0,NENHUMA,Baixa propensão; evitar contato
23,2025-09-04,0,1457,600-650,182,22,974.73,0.105,105.9,4,0.082,1,0,0,0,0,0.2603229515971375,0.13288910596012837,2161.4019449759276,4,NENHUMA,Baixa propensão; evitar contato
26,2025-11-21,0,802,<600,174,22,1212.86,0.392,61.86,1,0.037,5,0,0,0,0,0.34385289605524777,0.09314301399294853,2373.83934242908,4,NENHUMA,Inelegível por risco (inadimplência/score)
34,2025-12-29,0,1124,800+,86,18,1994.28,0.196,70.27,4,0.107,3,0,0,1,0,0.11314198640154498,0.20147169569508327,5361.408120079458,0,NENHUMA,Baixa propensão; evitar contato
38,2025-12-02,0,1371,700-800,116,26,1178.88,0.32,203.18,1,0.022,2,1,49,0,0,0.14587368941709772,0.1272925954090515,4162.430653261423,4,NENHUMA,Baixa propensão; evitar contato
40,2025-11-26,0,778,<600,103,26,1445.57,0.208,76.14,2,0.077,3,1,79,0,0,0.2923436329588176,0.16724768338758694,3775.5042698692296,0,NENHUMA,Inelegível por risco (inadimplência/score)
44,2025-08-07,1,9,600-650,8,3,117.8,0.248,162.51,1,1.0,0,0,0,0,1,0.21805977027517312,0.06701451342922761,259.1114243197208,1,NENHUMA,Inelegível por risco (inadimplência/score)
46,2025-08-13,0,111,650-700,34,26,1146.88,0.197,240.11,3,0.811,2,1,99,1,0,0.18220138815077913,0.1718288400916726,4147.369464161582,0,NENHUMA,Baixa propensão; evitar contato
47,2025-09-09,0,1219,600-650,139,24,972.32,0.528,0.0,0,0.0,4,0,0,1,0,0.2629896149298407,0.1802281458687565,2156.1037241639933,4,NENHUMA,Baixa propensão; evitar contato
49,2025-08-08,0,96,<600,208,30,1616.83,0.498,118.91,2,0.625,2,1,79,1,0,0.2874471899869507,0.1283871399585659,4179.981529129361,4,NENHUMA,Inelegível por risco (inadimplência/score)
50,2025-12-11,1,72,600-650,23,1,152.58,0.462,27.38,2,0.833,0,1,49,0,0,0.2625106974730121,0.07463270973523062,933.0295152626451,3,NENHUMA,Baixa propensão; evitar contato
53,2025-08-17,0,1209,700-800,65,22,1679.96,0.383,109.3,4,0.099,2,0,0,1,0,0.24002487056460814,0.18982238612362465,4577.218049308191,0,NENHUMA,Baixa propensão; evitar contato
58,2025-10-04,0,479,650-700,76,22,1291.21,0.292,96.14,3,0.188,1,1,129,1,0,0.12065934056774096,0.18078843643332254,4679.540304829807,0,NENHUMA,Baixa propensão; evitar contato
65,2025-07-08,0,164,650-700,38,34,1596.24,0.315,125.76,2,0.366,4,0,0,0,0,0.1390795103412014,0.268041019444219,4219.679033656082,0,CASHBACK_LEVE,Ação leve (propensão moderada)
79,2025-10-05,0,534,800+,170,28,1365.62,0.1,111.56,2,0.112,2,0,0,1,0,0.15687776919373556,0.1571877765601332,3995.7016807115992,4,NENHUMA,Baixa propensão; evitar contato
81,2025-10-20,0,896,800+,189,30,934.47,0.326,99.35,5,0.167,1,0,0,0,0,0.10791969850545426,0.2648122621410034,2748.82626936904,4,CASHBACK_LEVE,Ação leve (propensão moderada)
84,2025-11-29,0,504,650-700,154,27,1243.71,0.464,181.51,1,0.06,3,1,79,0,0,0.21745855314562498,0.12474625123426367,4169.2739462097015,4,NENHUMA,Baixa propensão; evitar contato
97,2025-12-24,0,1010,800+,172,29,570.77,0.351,109.02,0,0.0,2,1,79,0,0,0.09847150695864708,0.10636782230731469,2478.1041411357382,4,NENHUMA,Baixa propensão; evitar contato
101,2025-08-12,1,6,600-650,17,6,179.69,0.688,51.49,2,2.0,0,0,0,0,0,0.2550478871223897,0.11828535873508239,431.3812562922917,2,NENHUMA,Baixa propensão; evitar contato
104,2025-11-28,0,132,800+,167,37,563.32,0.34,138.47,3,0.682,6,1,79,1,0,0.10526620716084904,0.2001282181457869,2456.989702595345,4,NENHUMA,Baixa propensão; evitar contato
